sentiment_transition,trade_count,mean_pnl,win_rate
Greed → Greed,19075,167.2144972674181,0.849384010484928
Neutral → Fear,64536,103.81686485952027,0.8611627618693443
Neutral → Neutral,2812,56.45177029800854,0.8054765291607396
Extreme Greed → Extreme Greed,4332,40.850759873961216,0.7876269621421976
