classification,gross_profit,gross_loss,total_fees,profit_factor,gross_pnl,fee_bleed_ratio
Fear,8047914.0251589995,1347988.8345850003,145018.0436178108,5.97031208172928,6699925.190574,0.021644725798108014
Neutral,323390.86172399996,164648.483646,8743.87748638,1.9641290011470838,158742.37807799995,0.05508218783319217
Greed,3701782.0744800004,512165.53910399997,24334.03338861,7.227706262619749,3189616.535376,0.007629140719180979
Extreme Greed,256732.776939,79767.28516500001,6812.781233,3.2185221849777617,176965.491774,0.038497795048655595
